scenario_name,fold,approach,metric,result
ASP-POTASSCO,1,optschedule,par10,177.9840238641435
ASP-POTASSCO,2,optschedule,par10,62.740408563174
ASP-POTASSCO,3,optschedule,par10,174.97451673235642
ASP-POTASSCO,4,optschedule,par10,128.63502589113244
ASP-POTASSCO,5,optschedule,par10,75.46275817282462
ASP-POTASSCO,6,optschedule,par10,133.3940550306215
ASP-POTASSCO,7,optschedule,par10,91.47150723365637
ASP-POTASSCO,8,optschedule,par10,180.65218704214882
ASP-POTASSCO,9,optschedule,par10,72.63345862524591
ASP-POTASSCO,10,optschedule,par10,187.67655363546226
BNSL-2016,1,optschedule,par10,1467.5985391132824
BNSL-2016,2,optschedule,par10,369.07110169491517
BNSL-2016,3,optschedule,par10,2675.420037722379
BNSL-2016,4,optschedule,par10,2721.426649230817
BNSL-2016,5,optschedule,par10,4544.205135452785
BNSL-2016,6,optschedule,par10,819.8402519052423
BNSL-2016,7,optschedule,par10,2004.351345816166
BNSL-2016,8,optschedule,par10,943.3403741738457
BNSL-2016,9,optschedule,par10,896.8130280538263
BNSL-2016,10,optschedule,par10,2191.1798866025265
CPMP-2015,1,optschedule,par10,6411.525083008586
CPMP-2015,2,optschedule,par10,3660.7700841418928
CPMP-2015,3,optschedule,par10,4331.233548321527
CPMP-2015,4,optschedule,par10,4179.809087636875
CPMP-2015,5,optschedule,par10,2904.438174879324
CPMP-2015,6,optschedule,par10,4346.207840835911
CPMP-2015,7,optschedule,par10,5100.797442307694
CPMP-2015,8,optschedule,par10,5009.538252393556
CPMP-2015,9,optschedule,par10,2234.8989024323205
CPMP-2015,10,optschedule,par10,5313.8733846153855
